"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"CH32V203F6P6";;;
2;"SW2";"Push_button_smd_3x4x2_2pin";1;"RST";;;
3;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"SWD";;;
4;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
5;"R5,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"5.1K";;;
6;"C7,C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22pF";;;
7;"LED2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"USR";;;
8;"C3,C4,C6,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"0.1uF";;;
9;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8Mhz";;;
10;"R1,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1K";;;
11;"SW1";"Push_button_smd_3x4x2_2pin";1;"BT0";;;
12;"C2,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
13;"R3,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
14;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"USB1";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_16P";;;
16;"LED1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"PWR";;;
17;"J1";"PinHeader_1x13_P2.54mm_Vertical";1;"Header1";;;
18;"J2";"PinHeader_1x13_P2.54mm_Vertical";1;"Header2";;;
